row,col,beat,Coverage Width-Based Criterion
6,2,0914,0.3327524706123416
6,3,0915,0.3321421517520521
6,4,0921,0.5000222222698567
6,5,0922,0.333791720940656
6,6,0923,0.49937529514127443
6,7,0924,0.3316557180936387
6,8,0925,0.3531599346694214
6,9,0931,0.5000116680913664
6,10,0932,0.49907056924337445
6,11,0933,0.6348313730780596
6,12,0934,0.6665149667914299
6,13,0935,0.6650273338085599
6,14,1011,0.1669249518080982
6,15,1012,0.4826313078881388
6,16,1013,0.44471617576496264
7,0,1014,0.4403745413832796
7,1,1021,0.22971621123770425
7,2,1022,0.4286919574339447
7,3,1023,0.497423657331234
7,4,1024,0.33402351675003983
7,5,1031,0.33431888583371916
7,6,1032,0.5003761138653968
7,7,1033,0.48133359812825516
7,8,1034,0.3247799639769664
7,9,1111,0.33340525039112145
7,10,1112,0.002368972520332302
7,11,1113,0.33547516843017544
7,12,1114,0.6151657715595937
7,13,1115,0.5000968101439683
7,14,1121,0.0
7,15,1122,0.00022775676952846435
7,16,1123,0.48076245552917385
8,0,1124,0.500097374965376
8,1,1125,0.666931170618156
8,2,1131,0.5004249008959893
8,3,1132,0.3334532335028768
8,4,1133,0.16674381796504878
8,5,1134,0.3332526216474665
8,6,1135,0.33278298675770557
8,7,1211,0.33314217426185455
8,8,1212,0.33354091461020663
8,9,1213,0.4738974027217019
8,10,1214,0.0
8,11,1215,0.3327664684511764
8,12,1221,0.1660621902552879
8,13,1222,0.4964949193198709
8,14,1223,0.3270485672700281
8,15,1224,0.0
8,16,1225,0.33346970083004035
9,0,1231,0.33249756365846933
9,1,1232,0.000281171040001138
9,2,1233,0.16618007689284398
9,3,1234,0.3938193451947569
9,4,1235,0.3309168318234378
9,5,1411,0.49981105486589616
9,6,1412,0.4987244734223756
9,7,1413,0.499425385552699
9,8,1414,0.3333905145069409
9,9,1421,0.4999998749183673
9,10,1422,0.4760910515809616
9,11,1423,0.3347335167448213
9,12,1424,0.16705115130085468
9,13,1431,0.33383746707519535
9,14,1432,0.33196207267799493
9,15,1433,0.3339648083087854
9,16,1434,0.33512995830437264
10,0,1511,0.5000402424731993
10,1,1512,0.3348554567742802
10,2,1513,0.3334800343073919
10,3,1522,0.1850474405286473
10,4,1523,0.33336743534428037
10,5,1524,0.4916126519317029
10,6,1531,0.46785205945537855
10,7,1532,0.33291479882551667
10,8,1533,0.0035350719434769085
10,9,1611,0.6668747123430223
10,10,1612,0.6665090641885185
