row,col,beat,Coverage Width-Based Criterion
8,16,1225,0.33333333333333337
9,0,1231,0.3303893637226968
9,1,1232,0.0
9,2,1233,0.25366739288307905
9,3,1234,0.33333333333333337
9,4,1235,0.31586419753086414
9,5,1411,0.5
9,6,1412,0.5
9,7,1413,0.6623456790123456
9,8,1414,0.33333333333333337
9,9,1421,0.5
9,10,1422,0.493291117403511
9,11,1423,0.49950641662450557
9,12,1424,0.16666666666666685
9,13,1431,0.45685185185185173
9,14,1432,0.280731922398589
9,15,1433,0.32003367003367
9,16,1434,0.33333333333333337
10,0,1511,0.5
10,1,1512,0.5
10,2,1513,0.4667797354843679
10,3,1522,0.18374485596707824
10,4,1523,0.33333333333333337
10,5,1524,0.5
10,6,1531,0.45911401597676105
10,7,1532,0.2904601571268237
10,8,1533,0.0
10,9,1611,0.6666666666666667
10,10,1612,0.6666666666666667
10,11,1613,0.6666666666666667
10,12,1614,0.6666666666666667
10,13,1621,0.6666666666666667
10,14,1622,0.4549413997009694
10,15,1623,0.4761316872427983
10,16,1624,0.33333333333333337
11,0,1631,0.6666666666666667
11,1,1632,0.5
11,2,1633,0.4544159544159544
11,3,1634,0.5
11,4,1650,0.8333333333333334
11,5,1651,0.8333333333333334
11,6,1652,0.9643874643874644
11,7,1653,0.8333333333333334
11,8,1654,0.6666666666666667
11,9,1655,0.8333333333333334
11,10,1711,0.46890432098765433
11,11,1712,0.21777777777777807
11,12,1713,0.6451297158626549
11,13,1722,0.33333333333333337
11,14,1723,0.30550807217473874
11,15,1724,0.5
11,16,1731,0.5
12,0,1732,0.33333333333333337
12,1,1733,0.3278900112233444
12,2,1811,0.6666666666666667
12,3,1812,0.49802858806909545
12,4,1813,0.6666666666666667
12,5,1814,0.5
12,6,1821,0.16666666666666685
12,7,1822,0.3330042777496704
12,8,1823,0.6323166303558461
12,9,1824,0.16666666666666685
12,10,1831,0.0
12,11,1832,0.30354938271604937
12,12,1833,0.12314814814814823
12,13,1834,0.0
12,14,1911,0.5
12,15,1912,0.5
12,16,1913,0.33333333333333337
13,0,1914,0.2721340388007053
13,1,1915,0.33333333333333337
13,2,1921,0.6666666666666667
13,3,1922,0.33333333333333337
13,4,1923,0.33333333333333337
13,5,1924,0.0
13,6,1925,0.05367430922986505
13,7,1931,0.33333333333333337
13,8,1932,0.6666666666666667
13,9,1933,0.33333333333333337
13,10,1934,0.16666666666666685
13,11,1935,0.08278867102396537
13,12,2011,0.31758577158866286
13,13,2012,0.5
13,14,2013,0.5
13,15,2022,0.6347736625514404
13,16,2023,0.4842951101100144
14,0,2024,0.5
14,1,2031,0.6666666666666667
14,2,2032,0.6666666666666667
14,3,2033,0.5
14,4,2211,0.6300874314585395
14,5,2212,0.3330042777496704
14,6,2213,0.43654357719636755
14,7,2221,0.5
14,8,2222,0.4488888888888889
14,9,2223,0.42765432098765443
14,10,2232,0.47335932423651716
14,11,2233,0.5
14,12,2234,0.33333333333333337
14,13,2411,0.33333333333333337
14,14,2412,0.33333333333333337
14,15,2413,0.25751028806584375
14,16,2422,0.3025341130604292
15,0,2423,0.5
15,1,2424,0.5
15,2,2431,0.5
