row,col,beat,Coverage Width-Based Criterion
0,0,0111,0.0
0,1,0112,0.1138212810075655
0,2,0113,0.33333333333333337
0,3,0114,0.16666666666666685
0,4,0121,0.5
0,5,0122,0.0
0,6,0123,0.0
0,7,0124,0.22160846408503762
0,8,0131,0.14644232801032747
0,9,0132,0.33333333333333337
0,10,0133,0.33333333333333337
0,11,0211,0.0
0,12,0212,0.3037037037037037
0,13,0213,0.5
0,14,0214,0.33333333333333337
0,15,0215,0.5
0,16,0221,0.5
1,0,0222,0.0
1,1,0223,0.16666666666666685
1,2,0224,0.5
1,3,0225,0.6666666666666667
1,4,0231,0.5
1,5,0232,0.5
1,6,0233,0.5
1,7,0234,0.16666666666666685
1,8,0235,0.6475083178465812
1,9,0311,0.5
1,10,0312,0.33333333333333337
1,11,0313,0.39095380852593475
1,12,0314,0.33333333333333337
1,13,0321,0.16111111111111132
1,14,0322,0.33333333333333337
1,15,0323,0.19259259259259287
1,16,0324,0.16666666666666685
2,0,0331,0.0
2,1,0332,0.33333333333333337
2,2,0333,0.33333333333333337
2,3,0334,0.33333333333333337
2,4,0411,0.33333333333333337
2,5,0412,0.3330042777496704
2,6,0413,0.33333333333333337
2,7,0414,0.15370370370370345
2,8,0421,0.0
2,9,0422,0.4790560752360043
2,10,0423,0.0
2,11,0424,0.33333333333333337
2,12,0431,0.16666666666666685
2,13,0432,0.16666666666666685
2,14,0433,0.33333333333333337
2,15,0434,0.6666666666666667
2,16,0511,0.06111111111111123
3,0,0512,0.27222222222222237
3,1,0513,0.07222222222222241
3,2,0522,0.33333333333333337
3,3,0523,0.33333333333333337
3,4,0524,0.29074074074074074
3,5,0531,0.5
3,6,0532,0.5
3,7,0533,0.16666666666666685
3,8,0611,0.33333333333333337
3,9,0612,0.15370370370370345
3,10,0613,0.33333333333333337
3,11,0614,0.33333333333333337
3,12,0621,0.10185185185185164
3,13,0622,0.4462962962962963
3,14,0623,0.11296296296296304
3,15,0624,0.2951280521890935
3,16,0631,0.3018518518518519
4,0,0632,0.020370370370370483
4,1,0633,0.5
4,2,0634,0.33333333333333337
4,3,0711,0.33333333333333337
4,4,0712,0.33333333333333337
4,5,0713,0.5
4,6,0714,0.6666666666666667
4,7,0715,0.6666666666666667
4,8,0722,0.33333333333333337
4,9,0723,0.33333333333333337
4,10,0724,0.5
4,11,0725,0.5
4,12,0726,0.6660085554993408
4,13,0731,0.33333333333333337
4,14,0732,0.5
4,15,0733,0.5
4,16,0734,0.6666666666666667
5,0,0735,0.5
5,1,0811,0.49950641662450557
5,2,0812,0.5
5,3,0813,0.16666666666666685
5,4,0814,0.33333333333333337
5,5,0815,0.16666666666666685
5,6,0821,0.33333333333333337
5,7,0822,0.33333333333333337
5,8,0823,0.0
5,9,0824,0.33333333333333337
5,10,0825,0.33333333333333337
5,11,0831,0.16666666666666685
5,12,0832,0.438888888888889
5,13,0833,0.21509252722885538
5,14,0834,0.2685185185185184
5,15,0835,0.16666666666666685
5,16,0911,0.5
6,0,0912,0.33333333333333337
6,1,0913,0.5
6,2,0914,0.33333333333333337
6,3,0915,0.33333333333333337
6,4,0921,0.5
6,5,0922,0.33333333333333337
6,6,0923,0.5
6,7,0924,0.33333333333333337
6,8,0925,0.33333333333333337
6,9,0931,0.5
6,10,0932,0.5
6,11,0933,0.6511262651421877
6,12,0934,0.6666666666666667
6,13,0935,0.6666666666666667
6,14,1011,0.16666666666666685
6,15,1012,0.48780549003242296
6,16,1013,0.45925925925925926
7,0,1014,0.4574074074074074
7,1,1021,0.22407407407407376
7,2,1022,0.4462962962962963
7,3,1023,0.5
7,4,1024,0.33333333333333337
7,5,1031,0.33333333333333337
7,6,1032,0.5
7,7,1033,0.4944444444444446
7,8,1034,0.33333333333333337
7,9,1111,0.33333333333333337
7,10,1112,0.0
7,11,1113,0.33333333333333337
7,12,1114,0.6666666666666667
7,13,1115,0.5
7,14,1121,0.0
7,15,1122,0.0
7,16,1123,0.4796296296296294
8,0,1124,0.5
8,1,1125,0.6666666666666667
8,2,1131,0.5
8,3,1132,0.29629629629629617
8,4,1133,0.16666666666666685
8,5,1134,0.33333333333333337
8,6,1135,0.33333333333333337
8,7,1211,0.33333333333333337
8,8,1212,0.33333333333333337
8,9,1213,0.4976563928592297
8,10,1214,0.0
8,11,1215,0.33333333333333337
8,12,1221,0.16666666666666685
8,13,1222,0.5
8,14,1223,0.3330042777496704
8,15,1224,0.0
8,16,1225,0.33333333333333337
9,0,1231,0.33333333333333337
9,1,1232,0.0
9,2,1233,0.16666666666666685
9,3,1234,0.4111111111111112
9,4,1235,0.33333333333333337
9,5,1411,0.5
9,6,1412,0.5
9,7,1413,0.5
9,8,1414,0.33333333333333337
9,9,1421,0.5
9,10,1422,0.49557525024414245
9,11,1423,0.33333333333333337
9,12,1424,0.16666666666666685
9,13,1431,0.33333333333333337
9,14,1432,0.33333333333333337
9,15,1433,0.33333333333333337
9,16,1434,0.33333333333333337
10,0,1511,0.5
10,1,1512,0.33333333333333337
10,2,1513,0.33333333333333337
10,3,1522,0.16666666666666685
10,4,1523,0.33333333333333337
10,5,1524,0.49629629629629624
10,6,1531,0.4722222222222222
10,7,1532,0.33333333333333337
10,8,1533,0.0
10,9,1611,0.6666666666666667
10,10,1612,0.6666666666666667
10,11,1613,0.6666666666666667
10,12,1614,0.5
10,13,1621,0.6666666666666667
10,14,1622,0.45140579872733083
10,15,1623,0.4907407407407407
10,16,1624,0.33333333333333337
11,0,1631,0.6666666666666667
11,1,1632,0.33333333333333337
11,2,1633,0.33333333333333337
11,3,1634,0.5
11,4,1650,0.9333333333333333
11,5,1651,0.6666666666666667
11,6,1652,0.8333333333333334
11,7,1653,0.8333333333333334
11,8,1654,0.6666666666666667
11,9,1655,0.8333333333333334
11,10,1711,0.33333333333333337
11,11,1712,0.20185185185185195
11,12,1713,0.5
11,13,1722,0.33333333333333337
11,14,1723,0.3203703703703704
11,15,1724,0.5
11,16,1731,0.5
12,0,1732,0.33333333333333337
12,1,1733,0.33333333333333337
12,2,1811,0.6666666666666667
12,3,1812,0.49802858806909545
12,4,1813,0.6666666666666667
12,5,1814,0.5
12,6,1821,0.16666666666666685
12,7,1822,0.3330042777496704
12,8,1823,0.5
12,9,1824,0.16666666666666685
12,10,1831,0.0
12,11,1832,0.16666666666666685
12,12,1833,0.059259259259259234
12,13,1834,0.0
12,14,1911,0.5
12,15,1912,0.5
12,16,1913,0.33333333333333337
13,0,1914,0.16666666666666685
13,1,1915,0.33333333333333337
13,2,1921,0.5
13,3,1922,0.33333333333333337
13,4,1923,0.16666666666666685
13,5,1924,0.0
13,6,1925,0.0
13,7,1931,0.33333333333333337
13,8,1932,0.6666666666666667
13,9,1933,0.16666666666666685
13,10,1934,0.16666666666666685
13,11,1935,0.0
13,12,2011,0.33333333333333337
13,13,2012,0.5
13,14,2013,0.5
13,15,2022,0.5
13,16,2023,0.33333333333333337
14,0,2024,0.5
14,1,2031,0.6666666666666667
14,2,2032,0.6666666666666667
14,3,2033,0.5
14,4,2211,0.5
14,5,2212,0.3330042777496704
14,6,2213,0.33333333333333337
14,7,2221,0.5
14,8,2222,0.46111111111111114
14,9,2223,0.33333333333333337
14,10,2232,0.4722222222222222
14,11,2233,0.5
14,12,2234,0.33333333333333337
14,13,2411,0.33333333333333337
14,14,2412,0.33333333333333337
14,15,2413,0.16666666666666685
14,16,2422,0.2944444444444444
15,0,2423,0.5
15,1,2424,0.5203703703703706
15,2,2431,0.5333333333333332
15,3,2432,0.1333333333333332
15,4,2433,0.16666666666666685
15,5,2511,0.5
15,6,2512,0.28364985901885337
15,7,2513,0.6666666666666667
15,8,2514,0.4629629629629629
15,9,2515,0.33333333333333337
15,10,2521,0.13148148148148153
15,11,2522,0.33333333333333337
15,12,2523,0.5
15,13,2524,0.5
